week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner
8,Carolina Panthers,Atlanta Falcons,0.44350884277291075,0.5564911572270892,Atlanta Falcons,Carolina Panthers
8,Cincinnati Bengals,New York Jets,0.9144016842702124,0.0855983157297876,Cincinnati Bengals,New York Jets
8,Dallas Cowboys,Minnesota Vikings,0.33757292550631574,0.6624270744936842,Minnesota Vikings,Dallas Cowboys
8,Green Bay Packers,Arizona Cardinals,0.46223795510780086,0.5377620448921991,Arizona Cardinals,Green Bay Packers
8,Jacksonville Jaguars,Seattle Seahawks,0.44836104323460524,0.5516389567653948,Seattle Seahawks,Seattle Seahawks
8,Los Angeles Rams,Houston Texans,0.9267763402118997,0.0732236597881003,Los Angeles Rams,Los Angeles Rams
8,Miami Dolphins,Buffalo Bills,0.11786532878059727,0.8821346712194027,Buffalo Bills,Buffalo Bills
8,New England Patriots,Los Angeles Chargers,0.5854720299426722,0.4145279700573278,New England Patriots,New England Patriots
8,New York Giants,Kansas City Chiefs,0.13068175976226015,0.8693182402377398,Kansas City Chiefs,Kansas City Chiefs
8,Philadelphia Eagles,Detroit Lions,0.6220221314634586,0.37797786853654136,Philadelphia Eagles,Philadelphia Eagles
8,Pittsburgh Steelers,Cleveland Browns,0.26420574657946144,0.7357942534205386,Cleveland Browns,Pittsburgh Steelers
8,San Francisco 49ers,Chicago Bears,0.4642237433610518,0.5357762566389481,Chicago Bears,San Francisco 49ers
8,Tampa Bay Buccaneers,New Orleans Saints,0.800618664614083,0.19938133538591696,Tampa Bay Buccaneers,New Orleans Saints
8,Tennessee Titans,Indianapolis Colts,0.6872158970601948,0.3127841029398052,Tennessee Titans,Tennessee Titans
8,Washington Football Team,Denver Broncos,0.2776637358345597,0.7223362641654403,Denver Broncos,Denver Broncos
