week,away_name,home_name,away_team_win_%,home_team_win_%,predicted_winner,actual_winner,Accuracy
13,Arizona Cardinals,Chicago Bears,0.89552605,0.10447395,Arizona Cardinals,Arizona Cardinals,1
13,Baltimore Ravens,Pittsburgh Steelers,0.92709106,0.07290894,Baltimore Ravens,Pittsburgh Steelers,0
13,Dallas Cowboys,New Orleans Saints,0.96013045,0.039869547,Dallas Cowboys,Dallas Cowboys,1
13,Denver Broncos,Kansas City Chiefs,0.0065598786,0.99344015,Kansas City Chiefs,Kansas City Chiefs,1
13,Indianapolis Colts,Houston Texans,0.82601637,0.17398363,Indianapolis Colts,Indianapolis Colts,1
13,Jacksonville Jaguars,Los Angeles Rams,0.06406483,0.93593514,Los Angeles Rams,Los Angeles Rams,1
13,Los Angeles Chargers,Cincinnati Bengals,0.15905163,0.84094834,Cincinnati Bengals,Los Angeles Chargers,0
13,Minnesota Vikings,Detroit Lions,0.31679475,0.68320525,Detroit Lions,Detroit Lions,1
13,New England Patriots,Buffalo Bills,0.9990735,0.0009264946,New England Patriots,New England Patriots,1
13,New York Giants,Miami Dolphins,0.048816532,0.95118344,Miami Dolphins,Miami Dolphins,1
13,Philadelphia Eagles,New York Jets,0.2356225,0.7643775,New York Jets,Philadelphia Eagles,0
13,San Francisco 49ers,Seattle Seahawks,0.9233395,0.076660514,San Francisco 49ers,Seattle Seahawks,0
13,Tampa Bay Buccaneers,Atlanta Falcons,0.8069068,0.19309318,Tampa Bay Buccaneers,Tampa Bay Buccaneers,1
13,Washington Football Team,Las Vegas Raiders,0.55202955,0.44797045,Washington Football Team,Washington Football Team,1
